date,cci
2014-05,99.50475
2014-06,99.47705
2014-07,99.46846
2014-08,99.56802
2014-09,99.78236
2014-10,100.0837
2014-11,100.4535
2014-12,100.8634
2015-01,101.1397
2015-02,101.1421
2015-03,101.0412
2015-04,100.9839
2015-05,100.8999
